Toolbar Name,Description,Label,Children,Property Key,Property Value
sysMilestoneLeftOperationToolbar,里程碑左边表格操作栏,basic.common.toolbar.ProductDesignStoreOptionToolBar,tempSysMilestoneLeftDeleteCommand,,
tempSysYearSelectionToolbar,年份选择toolbar,年份选择,tempSysYearSelectionCommand,,
sysExceptionDateTableToolbar,操作,例外日期操作栏toolbar,tempSysExceptionDateDetailsCommand|tempSysExceptionDateDeleteCommand,,
sysExceptionDateDetailsTableToolbar,操作,例外日期操作栏toolbar,sysExceptionDateDetailsDeleteCommand,,
sysTransformationTypeToolbar,转换类型,,sysTransformationTypeToggleCommand,,
sysConfigurationTransformationOptionToolbar,操作,,sysConfigurationTransformationDeleteCommand|sysConfigurationTransformationCopyCommand|sysBatchTransferCommand,,
sysConfigurationTransformationToolbar,转换配置,,sysConfigurationTransformationAddCommand|sysConfigurationTransformationSearchCommand,,
sysSignatureSchemeOptionToolbar,操作,,sysSignatureSchemeDeleteCommand|sysSignatureSchemeCopyCommand|sysSignatureSchemeEditCommand,,
sysSignatureSchemeToolbar,签章方案,,sysAddSignTemplateCommand|sysSignTemplateSearchCommand,,
sysSignatureMenuToolbar,签章方案menutoolbar,,sysAddSignatureCommand,,
sysClassificationSynthesisRulesOperateToolbar,操作,basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysSynthesisRulesCopyAndAddCommand|sysSynthesisRulesDeleteCommand|sysSynthesisRulesCopyCommand,,
sysClassificationSynthesisRulesOperatePasteToolbar,操作,basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysSynthesisRulesEditPasteCommand,,
sysClassificationCodeSegmentOperatePasteToolbar,操作,basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysCodeSegmentEditPasteCommand,,
sysClassificationCodeSegmentOperateToolbar,操作,basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysCodeSegmentMoveupCommand|sysCodeSegmentMovedownCommand|sysCodeSegmentExamineCommand|sysCodeSegmentEditCommand|sysCodeSegmentDeleteCommand|sysCodeSegmentCopyCommand,,
sysClassificationCodeSegmentFloatToolbar,操作,basic.common.toolbar.sysECMPlanWizardOptionToolbar,sysCodeSegmentBatchCopyCommand|sysCodeSegmentBatchDeleteCommand,,
sysTransferWorkflowSettingToolbar,流程配置toolbar,,sysTransferWorkflowSettingAddCommand,,
sysTransferWorkflowSettingOptionToolbar,操作,,sysTransferWorkflowSettingDeleteCommand,,
sysERPIntegratedTemplateOptionToolbar,操作,,sysERPIntegratedTemplateCopyAndAddCommand|sysERPIntegratedTemplateLookAndEditCommand|sysERPIntegratedTemplateDeleteCommand,,
searchToolbar,搜索,basic.common.toolbar.searchToolbar,searchTextCommand,,
searchClassToolbar,分类搜索,basic.common.toolbar.searchToolbar,searchClassTextCommand,,
searchClassCodeTextToolbar,分类搜索,basic.common.toolbar.searchToolbar,searchClassCodeTextCommand,,
sysERPIntegratedProductLibraryToolbar,集成产品toolbar,,sysERPIntegratedProductLibraryCommand,,
sysERPIntegratedProductLibraryOptionToolbar,操作,,sysERPIntegratedProductLibraryLookAndEditCommand|sysERPIntegratedProductLibraryTestConnectionCommand|sysERPIntegratedProductLibraryDeleteCommand,,
sysConfigurationTransformationDrawerToolbar,转换配置抽屉,,sysConfigurationTransformationSaveCommand,,
sysSignatureDrawerToolbar,签章方案抽屉,,sysSignatureSaveCommand,,
sysSignMenuOptionToolbar,签章方案menu操作,,sysSignMenuMoreToolbar
sysSignMenuMoreToolbar,更多,,sysSignDeleteCommand|sysSignCopyCommand|sysSignEditCommand,nzIcon,more
sysOrganStructureToolbar,组织结构表格toolbar,,sysOrganEditUserCommand|sysOrgantSearchCommand|sysOrgantAddUserToRigCommand|sysOrgantDownloadTempCommand|sysOrgantImportUserCommand|sysOrgantSelectCommand,align|reviseIndex,right|4
sysOrganOptionToolbar,组织结构表格操作toolbar,,sysOrgantEditUserCommand|sysOrgantRemoveCommand|sysOrgantSetAgentCommand|sysOrgantReSetPawCommand|sysOrgantUnlockCommand,,
sysOrganUserToolbar,用户操作toolbar,,sysOrgantUserSaveCommand|sysOrgantUserCloseCommand|sysOrgantUserSaveNewCommand,align|reviseIndex,right|1
sysOrganGroupDToolbar,部门操作toolbar,,sysOrgantGroupSaveCommand|sysOrgantGroupCloseCommand|sysOrgantGroupSaveNewCommand,align|reviseIndex,right|1
sysCompositeFieldOptionToolbar,操作,,sysCompositeFieldDeleteCommand|sysCompositeFieldEditCommand|sysCompositeFieldMoveupCommand|sysCompositeFieldMovedownCommand
sysCompositeFieldToolbar,合成字段,,sysCompositeFieldAddCommand
tempSysBomRelationToolbar,,,sysBomNewRelationCommand|sysBomRelationFilterCommand,align|reviseIndex,left|2
sysAddBomTemplateBottomToolbar,合成字段,,sysDelExportTemplateCommand
sysOrganGroupToolbar,部门管理表格toolbar,,sysOrgantGSearchCommand|sysOrgantGDownloadTempCommand|sysOrgantImportGroupCommand|sysOrgantGSelectCommand,align|reviseIndex,right|2
sysOrganGroupOptionToolbar,部门管理表格操作toolbar,,sysOrgantEditGroupCommand|sysNewChildGroupCommand,,
sysExportBomToolbar,BOM导出格式模板toolbar,,sysAddExportBomCommand,,
sysTransferObjectOptionToolbar,操作,,sysTransferObjectDeleteCommand
sysTransferObjectToolbar,转换对象,,sysTransferObjectInitializationCommand|sysTransferObjectAddCommand
sysExportBomUploadToolbar,bom导出格式模板文件导出,,sysExportBomUploadShowCommand|sysExportBomUploadOptCommand|sysExportBomUploadOptDelCommand|sysExportBomDownloadCommand
sysOrganErrGroupToolbar,导入部门toolbar,,sysOrganGroupExportCommand,align|reviseIndex,right|1
sysClassifyRulesErrToolbar,导出规则toolbar,,sysClassifyRulesExportCommand,align|reviseIndex,right|1
sysDingDingIntegratedToolbar,钉钉集成toolbar,,sysDingDingIntegratedSaveToolbarCommand|sysDingDingIntegratedTestToolbarCommand|sysDingDingIntegratedOrgStructureSynchToolbarCommand,,
sysPerFloatToolbar,,basic.common.toolbar.DeleteToolbar,sysPerBatchDeleteCommand,,
sysMenuToolbar,,,sysBaseSettingToolbar|sysBusinessManagementToolbar|sysProjectManageToolbar|sysEcologicalIntegrationToolbar
sysBaseSettingToolbar,,systemSetting.common.title.baseSetting,sysOrganizationMenuCommand|sysSecurityMenuCommand|sysEmailServerMenuCommand|sysConfigurationTransformationMenuCommand|sysBusinessRuleMenuCommand|sysCalendarManagementMenuCommand
sysBusinessManagementToolbar,,systemSetting.common.title.businessManagement,sysCodeMenuCommand|sysBomTemplateMenuCommand|sysRelationTemplateMenuCommand|sysWorkflowTemplateMenuCommand|sysRuleManagementMenuCommand|sysPermissionMenuCommand|sysClassificationMenuCommand|sysCADTemplateComponentMenuCommand
sysProjectManageToolbar,,systemSetting.common.title.ProjectManagementSystemConfig,sysMilestoneMenuCommand|sysTaskTimeManagementMenuCommand|sysMessageRuleConfigurationMenuCommand,module,DT-PPM
sysEcologicalIntegrationToolbar,,systemSetting.common.title.ecologicalIntegration,sysErpIntegratedMenuCommand|sysDingdingIntegratedMenuCommand|
sysDCTaskManageToolbar,,任务管理toolbar,sysDCTaskManagNewCommand
sysDCNodeManageToolbar,,节点管理toolbar,sysDCNodeManagNewCommand
sysDCActuatorManageToolbar,,调度器管理toolbar,sysDCActuatorManagNewCommand
sysDCTaskManageOperationToolbar,,任务管理操作列toolbar,sysDCTaskManagEditCommand|sysDCTaskManagDeleteCommand
sysDCNodeManageOperationToolbar,,节点管理操作列toolbar,sysDCNodeManagEditCommand|sysDCNodeManagDeleteCommand
sysDCActuatorManageOperationToolbar,,调度器管理操作列toolbar,sysDCActuatorManagEditCommand|sysDCActuatorManagDeleteCommand
sysCADTemplateOptionToolbar,操作,CAD模板Toolbar,sysCADTemplateEditCommand|sysCADTemplateDeleteCommand
sysCADTemplateToolbar,新建CAD图档模板,,sysNewCADTemplateCommand,,
sysCADTemplateSourceFileTableSearchToolbar,搜索,,sysCADTemplateSourceFileSearchCommand,nzIcon,search
sysCADTemplateFloatToolbar,,basic.common.toolbar.DeleteToolbar,sysCADTemplateBatchDeleteCommand,,
sysDerRuleRightFormToolBar,派生规则右边form的toolbar,common.command.forkTo,sysBomForkSaveCommand,showTitle|align|reviseIndex,true|right|0
sysCollectionRecordsToolBar,收藏记录,收藏记录,sysCollectionRecordsCommand,,
globalSearchObjectToolbar,搜索框,basic.common.toolbar.globalSearchObjectToolbar,objectSearchText,,
sysSelectLocationToolbar,选择位置,,sysSelectLocationFilterCommand|sysSelectLocationSearchCommand,reviseIndex,2
sysGlobalSearchTableOptionToolbar,全局搜索option,,sysCopyObjectCommand|sysDonwloadCommand,,
